"field","options_fingerprint","key","choice","first_seen"
"result_unit","12-10592817","plant","quantity","2026-09-10"
"result_unit","12-10592817","visits","quantity","2026-09-10"
"funding_mechanism (financing instrument type)","6-398730849","instrument wording: funded by the swiss capacity building facility (scbf). | portion:","grant","2026-09-10"
"actor_match","1-125171186","nepad planning and coordinating agency","CON14","2026-09-10"
"actor_match","1-125171186","acre rwanda","CON26","2026-09-10"
"actor_match","1-125171186","gef trust fund (get)","GLO28","2026-09-10"
"actor_match","1-125171186","nepad","CON14","2026-09-10"
"actor_match","1-125171186","institute of agricultural research for development - irad (cameroon)","CMR1","2026-09-10"
"actor_match","1-125171186","rwanda agriculture board (rab)","RWA1","2026-09-10"
"actor_match","1-125171186","chidetze agricultural research station","MWI2","2026-09-10"
"actor_match","1-125171186","zambia agricultural research institute (zari)","ZAM7","2026-09-10"
"subsector type","7-809569049","non-timber forest products and processing | established a shea processing facility (community processing)","agri-food","2026-09-10"
"subsector type","7-809569049","agroforestry / restoration | integrated agroforestry seedlings distribution with nursery training","land use","2026-09-10"
"subsector type","7-809569049","irrigation infrastructure / climate resilience | infrastructure improvements, notably for irrigation, to enhance climate resilience","farming system-crop","2026-09-10"
"subsector type","7-809569049","sustainable agriculture / watershed measures | demonstration plots and sustainable practices including ridging, improved soil fertility management, water retention methods, intercropping","farming system-crop","2026-09-10"
"subsector type","7-809569049","reducing deforestation in commodity supply chains | in liberia, smallholder palm oil producers adopted more sustainable practices","farming system-crop","2026-09-10"
"subsector type","7-809569049","reducing deforestation in commodity supply chains | ggp support for the national oil palm platform (noppol) aligned partners around sustainability guidelines that followed the global roundtable on sustainable palm oil","agri-food","2026-09-10"
"subsector type","7-809569049","bolstering small-scale coastal fisheries governance | cold chain and market access improvements in cabo verde","farming system-fish","2026-09-10"
"subsector type","7-809569049","crop production; livestock; marketing | distribution of agricultural inputs (seeds, goats, fertilizers, pesticides, tools, motorized pumps)","farming system-mixed","2026-09-10"
"subsector type","7-809569049","capacity building; extension | training & technical assistance (at) provided by oxfam","cross cutting","2026-09-10"
"subsector type","7-809569049","organisational/legal | legalization status of primary associations (surveyed)","cross cutting","2026-09-10"
"subsector type","7-809569049","production planning | existence of written annual production plans at associations (surveyed)","cross cutting","2026-09-10"
"subsector type","7-809569049","marketing | group sales by associations (collective marketing)","agri-food","2026-09-10"
"subsector type","7-809569049","marketing/contracts | associations having had contracts to produce for a buyer","agri-food","2026-09-10"
"subsector type","7-809569049","marketing/contracts | buyer j.f.s - tobacco (contracts)","farming system-crop","2026-09-10"
"subsector type","7-809569049","marketing/contracts | buyer m.l.t - tobacco (contracts)","farming system-crop","2026-09-10"
"subsector type","7-809569049","marketing/contracts | buyer devolt - sunflower (contracts)","farming system-crop","2026-09-10"
"subsector type","7-809569049","marketing/contracts | buyer ucasn - sesame (contracts)","farming system-crop","2026-09-10"
"subsector type","7-809569049","marketing/contracts | buyer world relief - paprika (contracts)","farming system-crop","2026-09-10"
"subsector type","7-809569049","training | training provided by ucasn or oxfam in business plan / business development","cross cutting","2026-09-10"
"subsector type","7-809569049","training | training provided by ucasn or oxfam in marketing","cross cutting","2026-09-10"
"subsector type","7-809569049","training/health | training provided by ucasn or oxfam in hiv/sida","cross cutting","2026-09-10"
"subsector type","7-809569049","gender; governance | presence of women as elected leaders in associations (surveyed)","cross cutting","2026-09-10"
"subsector type","7-809569049","finance | associations with an operations fund (association finance)","cross cutting","2026-09-10"
"subsector type","7-809569049","banking/finance | associations with bank accounts (surveyed)","cross cutting","2026-09-10"
"subsector type","7-809569049","microfinance; savings | xitique (mutual trust lending) practiced by mirreia ii association","cross cutting","2026-09-10"
"subsector type","7-809569049","extension/technical assistance | evidence of a dynamic extension process at the association level","cross cutting","2026-09-10"
"subsector type","7-809569049","extension/technical assistance | evidence of a dynamic extension process at the association level (maúa town)","cross cutting","2026-09-10"
"subsector type","7-809569049","""training and information to enhance the ipm capacity"" | ""help to enhance the response capacity of the lcbc regional school in ngala (nigeria) by providing equipment, teaching materials and training courses on ipm techniques.""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... irad in cameroon""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... inran in niger""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... itrad in chad""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""research/development to establish a technology transfer system based on the use of integrated pest management (ipm)"" | ""the coordination unit was able to ensure the full participation of agricultural research institutions ... the university of maiduguri in nigeria""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""farmer field school"" | ""the farmers of one of the pilot villages, -mandjafa in chad - raised the problem of full-scale implementation of ipm techniques in their fields.""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""use of neem-based botanical insecticides"" | ""the use of neem-based botanical insecticide (powder, aqueous extracts and oil) is now common among pilot farmers""","farming system-crop","2026-09-10"
"subsector type","7-809569049","""use of neem-based botanical insecticides"" | ""in a sample of 13 villages visited, including three non-pilot villages, only the farmers of two pilot villages and one non-pilot village believe that neem is less effective""","farming system-crop","2026-09-10"
"subsector type","7-809569049","financial education and insurance product upscaling interventions | financial education and insurance product upscaling interventions","cross cutting","2026-09-10"
"subsector type","7-809569049","agricultural insurance | upscale existing products and launch financial literacy campaigns, thereby adopting a blended approach","cross cutting","2026-09-10"
"subsector type","7-809569049","agricultural insurance | insurance products","cross cutting","2026-09-10"
"subsector type","7-809569049","agricultural insurance | agricultural insurance programs","cross cutting","2026-09-10"
"subsector type","7-809569049","value-chain development and private sector grants | matching grants scheme (mps) to support individual family applicants and commercial enterprises","agri-food","2026-09-10"
"subsector type","7-809569049","post-harvest infrastructure (market) | construction of a fish market","farming system-fish","2026-09-10"
"subsector type","7-809569049","extension services infrastructure | construction of extension agent house and office","cross cutting","2026-09-10"
"subsector type","7-809569049","community finance (pcr) and ccps | establishment/revitalization of pcr associations and support to ccps","cross cutting","2026-09-10"
"subsector type","7-809569049","community finance (pcr) and ccps | establishment/revitalization of pcr associations and support to ccps; ccps signing co-management agreements","cross cutting","2026-09-10"
"subsector type","7-809569049","co-management (ccps) | support to ccps and signing of co-management agreements with districts","cross cutting","2026-09-10"
"subsector type","7-809569049","pcr participation (district-level) | pcr associations established/revitalized in district","cross cutting","2026-09-10"
"subsector type","7-809569049","community and institutional capacity building | training of government agencies’ staff and community members","cross cutting","2026-09-10"
"subsector type","7-809569049","community activities (mozambique) | support to ccps and community meetings","cross cutting","2026-09-10"
"subsector type","7-809569049","extension infrastructure (mozambique) | extension agent house and office constructed (see above)","cross cutting","2026-09-10"
"subsector type","7-809569049","community activities (mozambique) | support to ccps and pcr participants in province","cross cutting","2026-09-10"
"subsector type","7-809569049","vessel registration and licensing; mcs | vessel registration and licensing, inspections, vessel monitoring center and themis web ais system (dsfa), mcs investments and training","farming system-fish","2026-09-10"
"subsector type","7-809569049","community-based co-management and cfma development | support to bmus, development of cfma management plans, training, joint patrols, and revenue/licensing fee collection training","farming system-fish","2026-09-10"
"subsector type","7-809569049","community-based co-management and cfma development | support to bmus and cfma management plan development and training","farming system-fish","2026-09-10"
"subsector type","7-809569049","co-management and livelihood support | support to bmus and alternative livelihood and vsl schemes","farming system-fish","2026-09-10"
"subsector type","7-809569049","octopus management and seasonal closure | implementation of octopus seasonal closures as per octopus management plan","farming system-fish","2026-09-10"
"subsector type","7-809569049","co-management and bmu support | support to bmus and co-management committees and patrols","farming system-fish","2026-09-10"
"subsector type","7-809569049","prawn seasonal closure implementation | prawn seasonal closures implementation in line with prawn management plan","farming system-fish","2026-09-10"
"subsector type","7-809569049","octopus seasonal closure implementation | implementation of octopus seasonal closure","farming system-fish","2026-09-10"
"subsector type","7-809569049","bmu office infrastructure | construction of bmu office in dunda (mbarali district)","farming system-fish","2026-09-10"
"subsector type","7-809569049","bmu office infrastructure | construction of bmu office in kipumbwi (pangani district)","farming system-fish","2026-09-10"
"subsector type","7-809569049","bmu office infrastructure | construction of bmu office in saadani (pangani district)","farming system-fish","2026-09-10"
"subsector type","7-809569049","bmu office infrastructure | construction of bmu office in sudi (lindi region)","farming system-fish","2026-09-10"
"subsector type","7-809569049","bmu office infrastructure | construction of bmu office in zingibari (tanga region)","farming system-fish","2026-09-10"
"subsector type","7-809569049","staff accommodation/infrastructure | staff accommodation constructed for park staff","land use","2026-09-10"
"subsector type","7-809569049","cold chain infrastructure | supply and commissioning of cold rooms at malindi landing site","farming system-fish","2026-09-10"
"subsector type","7-809569049","eez mcs infrastructure (boat ramp) | construction of dsfa boat ramp and slipway (fumba)","farming system-fish","2026-09-10"
"subsector type","7-809569049","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices in unguja/pemba","land use","2026-09-10"
"subsector type","7-809569049","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices","land use","2026-09-10"
"subsector type","7-809569049","ranger surveillance post/field office | construction of new ranger surveillance post and field office in pungume island","land use","2026-09-10"
"subsector type","7-809569049","ranger surveillance post/field office | refurbishment of ranger surveillance post/field office","land use","2026-09-10"
"subsector type","7-809569049","ranger surveillance post/field office | construction/refurbishment of ranger surveillance posts/field offices in pemba","land use","2026-09-10"
"subsector type","7-809569049","administration building refurbishment | refurbishment of mbef administration building (nyangumi house) with facilities and library/archive","land use","2026-09-10"
"subsector type","7-809569049","bmu infrastructure (dunda) | construction of bmu office in dunda (see above)","farming system-fish","2026-09-10"
"subsector type","7-809569049","marine conservation area management, mariculture and seaweed value chains | mcas general management plans developed; seaweed processing support including barges and training; octopus closures implemented; sea cucumber training","farming system-fish","2026-09-10"
"subsector type","7-809569049","marine conservation area management, seaweed and sea cucumber value chains | mcas general management plans; sea cucumber pens and training; seaweed barges and training","farming system-fish","2026-09-10"
"subsector type","7-809569049","research infrastructure | constructed an administration office and warehouse at bvumbwe","farming system-crop","2026-09-10"
"subsector type","7-809569049","research infrastructure; irrigation | constructed a new administration office, conference room and library at kasinthula; rehabilitated irrigation infrastructure","farming system-crop","2026-09-10"
"subsector type","7-809569049","irrigation/irrigation systems | one of three irrigation systems rehabilitated (chókwe, umbelúzi and ribaué)","farming system-crop","2026-09-10"
"subsector type","7-809569049","soil laboratory/soil testing | rehabilitated soil laboratory at mt makulu research station","farming system-crop","2026-09-10"
"subsector type","7-809569049","research site safety | fenced the reservoir and erected warning signs; community sensitization on risks","farming system-crop","2026-09-10"
"subsector type","7-809569049","research station rehabilitation | minor rehabilitations at research stations including mt makulu","farming system-crop","2026-09-10"
"subsector type","7-809569049","irrigation; laboratory | constructed irrigation system; rehabilitated soil laboratory; rehabilitated road to gravel standard","farming system-crop","2026-09-10"
"subsector type","7-809569049","research station minor rehabilitations | minor rehabilitations at multiple research stations","farming system-crop","2026-09-10"
"subsector type","7-809569049","research infrastructure; entomology lab; irrigation | rehabilitated offices, warehouse, threshing-floor and entomology laboratory; irrigation system rehabilitation (joint)","farming system-crop","2026-09-10"
"subsector type","7-809569049","research infrastructure; entomology laboratory | rehabilitated 1 administrative block and 1 entomology laboratory at nampula","farming system-crop","2026-09-10"
"subsector type","7-809569049","research infrastructure/housing | rehabilitated houses, outbuildings, warehouses and office buildings","farming system-crop","2026-09-10"
"subsector type","7-809569049","research infrastructure/housing | rehabilitated 1 house at nametil","farming system-crop","2026-09-10"
"subsector type","7-809569049","irrigation | one of three irrigation systems rehabilitated (chókwe, umbelúzi and ribaué)","farming system-crop","2026-09-10"
"target_beneficiary","24-115445661","15 countries received support on their slwm country strategic investment framework (csif) including uganda, madagascar, ghana, gambia, mali, kenya, niger, senegal, drc, burkina faso, cote d’ivoire, nigeria, malawi, togo and lesotho.","CANDIDATE: national governments","2026-09-10"
"target_beneficiary","24-115445661","5 week-long restoration opportunities assessment methodologies (roam) workshops held in cote d’ivoire, kenya, malawi, niger and uganda in 2017 and 2018 in partnership with iucn.","CANDIDATE: national government staff","2026-09-10"
"target_beneficiary","24-115445661","country project and national program teams","CANDIDATE: national government staff","2026-09-10"
"target_beneficiary","24-115445661","attended by 17 member countries","CANDIDATE: national governments","2026-09-10"
"target_beneficiary","24-115445661","national stakeholders including csos, sectoral representatives, and donors","CANDIDATE: national stakeholders","2026-09-10"
"target_beneficiary","24-115445661","countries supported through joint fact-finding and planning missions","CANDIDATE: national governments","2026-09-10"
"target_beneficiary","24-115445661","ethiopia benefitted from dedicated ta trust funds","CANDIDATE: national governments","2026-09-10"
"target_beneficiary","24-115445661","mozambique benefitted from dedicated ta trust funds","CANDIDATE: national governments","2026-09-10"
"target_beneficiary","24-115445661","the secretariat was transferred later in 2009 to nepad’s secretariat, located near johannesburg, south africa","CANDIDATE: regional organization/secretariat","2026-09-10"
"target_beneficiary","24-115445661","benefited over 63,500 individuals","community","2026-09-10"
"target_beneficiary","24-115445661","15,106 beneficiaries reached","community","2026-09-10"
"target_beneficiary","24-115445661","aligned partners around sustainability guidelines","CANDIDATE: partner organizations","2026-09-10"
"target_beneficiary","24-115445661","""all 28 associations interviewed indicated that the key benefit of having an association was the opportunity to receive seeds, goats, and other inputs from ogb.""","producer organization","2026-09-10"
"target_beneficiary","24-115445661","""only 43% of the groups interviewed stated that oxfam technicians provide training & technical assistance.""","farmer group","2026-09-10"
"target_beneficiary","24-115445661","""number associations association legally recognized 1""","farmer association","2026-09-10"
"target_beneficiary","24-115445661","""what are the processing activities? making traditional alcoholic drinks""","CANDIDATE: small-scale processors","2026-09-10"
"target_beneficiary","24-115445661","""ikuro soybeans 2""","producer","2026-09-10"
"target_beneficiary","24-115445661","""j.f.s tobacco 2""","producer","2026-09-10"
"target_beneficiary","24-115445661","""m.l.t tobacco 3""","producer","2026-09-10"
"target_beneficiary","24-115445661","""devolt sunflower 1""","producer","2026-09-10"
"target_beneficiary","24-115445661","""ucasn sesame 1""","producer","2026-09-10"
"target_beneficiary","24-115445661","""world relief paprika 1""","producer","2026-09-10"
"target_beneficiary","24-115445661","""trainers and farmers who are the primary beneficiaries.""","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","small-scale farmers","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","2,104 of 3,000 vessels registered","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","a fisheries monitoring center was built, equipped, and made functional","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","756 vessels inspected","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","2,134 value-chain operators benefitting from training and equipment","agribusiness","2026-09-10"
"target_beneficiary","24-115445661","management plans for demersal line fisheries, coastal shrimp, and deep-sea crustaceans implemented","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","695 land patrol days; 297 coastal patrol days","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","dashboard in place and made public with regularly updated data","community","2026-09-10"
"target_beneficiary","24-115445661","1,217 recipients from mps (1,213 individual family applicants, 4 commercial enterprises)","household","2026-09-10"
"target_beneficiary","24-115445661","3,449 pcr participants in nampula province","community","2026-09-10"
"target_beneficiary","24-115445661","8,498 pcr participants in zambezia province","community","2026-09-10"
"target_beneficiary","24-115445661","5,599 pcr participants in sofala province; 43 ccps achieved performance targets in sofala bank","community","2026-09-10"
"target_beneficiary","24-115445661","43 ccps achieved performance targets (of 62 supported in sofala bank)","community","2026-09-10"
"target_beneficiary","24-115445661","31,068 government staff trained (mozambique total)","CANDIDATE: government staff","2026-09-10"
"target_beneficiary","24-115445661","tanzania: fisheries management plans (fmp) consulted, approved and implemented: 7","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","5,547 vessels licensed (58% of 9,563 registered) in mainland tanzania","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","42 percent non-licensed in mainland tanzania (4,016 of 9,563 vessels)","artisanal fisher","2026-09-10"
"target_beneficiary","24-115445661","all 99 vfcs in three mcas achieved at least two performance targets","community","2026-09-10"
"target_beneficiary","24-115445661","direct beneficiaries 2,338,654","community","2026-09-10"
"target_beneficiary","24-115445661","direct beneficiaries 1,000,000","community","2026-09-10"
"target_beneficiary","24-115445661","direct beneficiaries 1,274,292","community","2026-09-10"
"target_beneficiary","24-115445661","farmers, livestock producers, and other potential end-users of the improved technology and knowledge generated and/or disseminated by the program","producer","2026-09-10"
"target_beneficiary","24-115445661","rcol soil scientists and farmers (improved soil testing services)","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers and research staff using post-harvest facilities","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers receiving seed; lead farmers","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers using drying equipment","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers and researchers","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","researchers and farmers relying on entomology services","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","project staff and trainees housed at the station","CANDIDATE: project staff and trainees","2026-09-10"
"target_beneficiary","24-115445661","farmers using irrigation","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","farmers (adopters of improved varieties)","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","trained 200 lead farmers who trained and supported 18,230 follower farmers","smallholder farmer","2026-09-10"
"target_beneficiary","24-115445661","producers affected by land acquisition (116 producers affected)","producer","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif) | 1 countries supported in their slm country investment framework development, implementation, or update","output","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif); launch of kenya’s csif supported | 1 countries supported in their slm country investment framework development, implementation, or update / launches supported","output","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif); roam workshop held | 1 countries supported in their slm country investment framework development, implementation, or update / roam workshops held","process","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif); csif validation and platform launch supported | 1 countries supported in their slm country investment framework development, implementation, or update / validation workshops supported","output","2026-09-10"
"result_level","5-529304297","documentary on slm best practices produced; csif support received | 1 documentary produced / countries supported in their slm country investment framework development, implementation, or update","output","2026-09-10"
"result_level","5-529304297","roam workshop held; slwm platform launch supported | 1 roam workshops held / slwm platform launches supported","process","2026-09-10"
"result_level","5-529304297","roam workshop held; country visits undertaken for knowledge products | 1 roam workshops held / country visits undertaken","process","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif); slm platform launch/validation supported | 1 countries supported in their slm country investment framework development, implementation, or update / platform launches supported","output","2026-09-10"
"result_level","5-529304297","received support on their slwm country strategic investment framework (csif); attended landscape workshop in maseru | 1 countries supported in their slm country investment framework development, implementation, or update / learning workshops held","process","2026-09-10"
"result_level","5-529304297","roam workshops held in these countries in 2017 and 2018 in partnership with iucn | 1 roam workshops held","process","2026-09-10"
"result_level","5-529304297","ilm training held, attended by 17 member countries | 17 member countries attended","process","2026-09-10"
"result_level","5-529304297","financing slwm workshop held | 1 workshops held","process","2026-09-10"
"result_level","5-529304297","csif learning workshop held | 1 learning workshops held","process","2026-09-10"
"result_level","5-529304297","regional km and m&e workshop held | 1 workshops held","process","2026-09-10"
"result_level","5-529304297","slm platform launch supported | 1 slm platform launches supported","output","2026-09-10"
"result_level","5-529304297","country visit undertaken for knowledge products | 1 country visits undertaken","process","2026-09-10"
